2020/3/22,15.5,8,1
2020/3/23,9.7,8,1
2020/3/24,7.6,8,1
2020/3/25,8.9,8,1
2020/3/26,12.4,8,1
2020/3/27,14.7,8,1
2020/3/28,14.7,8,1
2020/3/29,3.9,8,1
2020/3/30,7.5,8,1
2020/3/31,10.1,8,1
2020/4/1,11.8,8,1
2020/4/2,13.8,8,1
2020/4/3,12.5,8,1
2020/4/4,15,8,1
2020/4/5,9.6,8,1
2020/4/6,11.8,8,1
2020/4/7,11.8,8,1
2020/4/8,14.1,8,1
2020/4/9,12.7,8,1
2020/4/10,10.7,8,1
2020/4/11,10.8,8,1
2020/4/12,10.4,8,1
2020/4/13,8.6,8,1
2020/4/14,10.9,8,1
2020/4/15,13.5,8,1
2020/4/16,11,8,1
2020/4/17,12.2,8,1
2020/4/18,13.3,8,1
2020/4/19,14.3,8,1
2020/4/20,9.9,8,1
2020/4/21,14.1,8,1
2020/4/22,12.8,8,1
2020/4/23,12.3,8,1
2020/4/24,11.3,8,1
2020/4/25,12.5,8,1
2020/4/26,18.2,8,1
2020/4/27,12.5,8,1
2020/4/28,13.2,8,1
2020/4/29,15.3,8,1
2020/4/30,17.5,8,1
2020/5/1,19.3,8,1
2020/5/2,19.7,8,1
2020/5/3,20,8,1
2020/5/4,19.1,8,1
2020/5/5,20.6,8,1
2020/5/6,15.5,8,1
2020/5/7,16,8,1
2020/5/8,16,8,1
2020/5/9,18.1,8,1
2020/5/10,20.3,8,1
2020/5/11,22.1,8,1
2020/5/12,21,8,1
2020/5/13,21.9,8,1
2020/5/14,20.2,8,1
2020/5/15,21.2,8,1
2020/5/16,18.6,8,1
2020/5/17,21.3,8,1
2020/5/18,19.5,8,1
2020/5/19,18.5,8,1
2020/5/20,12.7,8,1
2020/5/21,13.2,8,1
2020/5/22,14.7,8,1
2020/5/23,18.2,8,1
2020/5/24,20.4,8,1
2020/5/25,21.2,8,1
2020/5/26,20.7,8,1
2020/5/27,21.4,8,1
2020/5/28,19.7,8,1
2020/5/29,20.6,8,1
2020/5/30,21.8,8,1
2020/5/31,21.3,8,1
2020/6/1,20.1,8,1
2020/6/2,22.9,8,1
2020/6/3,23.6,8,1
2020/6/4,23.5,8,1
2020/6/5,24.7,8,1
2020/6/6,24.1,8,1
2020/6/7,21.6,8,1
2020/6/8,22.7,8,1
2020/6/9,24.7,8,1
2020/6/10,24.7,8,1
2020/6/11,24.7,8,1
2020/6/12,25.5,8,1
2020/6/13,20.8,8,1
2020/6/14,21.7,8,1
2020/6/15,26.4,8,1
2020/6/16,24.9,8,1
2020/6/17,23.1,8,1
2020/6/18,22.1,8,1
2020/6/19,18.8,8,1
2020/6/20,22.8,8,1
